Number,Target variable,Gluteus medius,Gluteus minimus,Adductor longus,Adductor brevis,Adductor magnus,Tensor fasciae latae,Gracilis,Gluteus maximus,Psoas major,Quadriceps,Piriformis,Ipsilateral erector spinae,Contralateral erector spinae,Ipsilateral internal oblique,Contralateral internal oblique,Ipsilateral external oblique,Contralateral external oblique
506,12.57350792,2.18559456,6.34231943,9.03862723,16.07757196,7.01693252,8.22552477,6.60154468,1.90666947,39.79447432,2.88450912,-0.80866869,81.17207289,64.26682089,37.29439372,8.25330857,31.53449931,29.35645737
507,12.65438802,0.11746806,8.79749549,11.91449747,23.80920478,5.34209963,8.20092942,6.51394832,1.32518735,39.30119356,1.67050793,-1.03930543,65.83862503,70.87589375,37.89266705,12.44232847,30.02098528,29.85495851
508,12.64916294,-0.03129489,6.97703327,13.96663624,33.78297257,5.92080418,8.10825471,6.49680998,1.311329,39.61138271,2.30121658,-1.21493775,68.03882813,65.75097111,37.94426376,13.31318577,30.39584819,29.48292697
509,12.5580988,0.07651363,3.86598984,20.10013808,19.67690981,10.18157195,7.96041342,6.50602254,1.94469087,38.1224514,4.88313574,-1.14919689,83.05430109,53.51004626,26.30616667,8.53526919,31.93888795,28.51495192
510,12.3725059,-0.04701096,2.50007992,22.37375449,14.68339614,13.31697153,7.79326684,6.49925332,2.69060796,39.51924974,9.3842877,-1.01593859,106.9973306,45.82723344,38.25429399,4.53665756,32.4366002,27.06651
511,23.46578482,-0.03489963,2.06410899,22.43011515,19.14970649,24.21867342,8.77348042,6.01689935,7.03479221,37.54917063,11.88408218,-0.87490894,70.92332011,100.2699274,34.89929081,24.25299108,81.11823371,37.42122021
512,24.16401512,4.56706445,2.03524381,21.59094213,12.58070375,8.47021625,8.79175591,5.64415327,7.27047848,37.89926832,17.73680906,1.68854406,41.97535691,111.3181049,34.45592399,50.28997489,76.28511276,37.35833878
513,24.56410913,12.36961519,1.77430472,20.39461375,5.03936872,1.88857302,8.77787269,5.3793093,4.76204782,38.24529433,34.63528842,8.90627206,30.37189365,118.3469582,34.86720333,92.50249889,72.53354799,32.15628441
514,24.67652749,13.58172484,1.08170555,21.16993377,7.27757368,2.1922125,8.65642614,5.8513324,2.91665122,38.66122332,32.19764594,20.95424264,39.98436517,107.707311,35.10471192,100.4227288,70.30359623,32.95437189
515,24.56000782,6.19129292,0.57085606,19.81080486,18.74438042,7.13148504,8.47646414,6.32899063,2.80795895,39.05894571,14.78213353,27.26046768,74.86168071,86.65060793,35.95691191,47.90956438,68.61186301,33.69593305
516,24.12139481,1.61229705,0.46182256,22.17888315,10.61688451,18.34661781,8.32067794,6.4408802,3.42360318,39.30278978,20.50509556,23.15821445,122.8581174,71.01587889,35.23215167,19.40763338,66.83412026,30.06452122
517,14.15511665,-0.8879854,7.68104081,2.91098981,2.81252205,3.46887471,8.50360018,5.79631244,0.68925713,37.70167844,1.42383263,-0.52069798,79.34184497,87.50610437,11.13774374,33.75583431,25.15505116,27.75027311
518,14.45473698,-0.21984131,7.84884383,12.67451048,8.23014234,3.34779788,8.50831663,5.90700407,1.805092466,38.60234385,0.97242375,-1.24729001,96.7992478,109.1805414,8.75582632,32.89485082,23.09683285,25.34920465
519,14.61237705,-1.98096031,8.02512068,16.36373059,12.5600688,3.63276211,8.45532648,6.01217591,1.414067314,35.98653289,1.00049587,-2.13605177,121.1799634,141.3199096,7.37180016,32.2793527,19.38204196,21.43279068
520,14.62508974,-2.80165864,6.12979566,7.30209265,6.56582939,6.01705478,8.29088207,6.11656154,0.976937956,39.34656046,2.52768198,-2.9403313,93.02811475,144.1773131,7.03143884,33.12551352,15.77779974,24.41760702
521,14.4413994,-3.3143583,2.76350817,21.67119398,7.142295284,13.70694064,8.04945965,6.17319798,0.813446862,39.46017871,7.08819274,-3.57648985,50.02719821,130.2279825,10.67742954,33.96649037,15.36201599,33.03813448
522,14.12599567,-2.22524947,1.17760042,17.10724103,10.03140362,23.43640415,7.71619317,6.18717555,1.296690074,38.96996167,25.19466092,-3.30228302,22.76073073,87.89629856,15.63299733,34.92491932,21.03096554,34.08161826
523,11.39237707,1.15898683,13.68714542,10.05973774,13.55172363,2.47552793,8.57763435,5.60993138,0.87352951,28.96574215,2.14998278,0.45900911,81.6451825,100.5334086,29.83141053,12.18515224,10.2128555,22.50313016
524,11.45656964,-0.01323604,15.92873684,13.00916096,13.85936279,1.8010628,8.51502238,5.76753733,2.049823338,33.3654569,1.95484133,0.4418059,91.41864492,107.0741227,22.68897705,10.88960009,4.95147149,17.95014214
525,11.49487312,0.16212683,7.56699506,5.85514142,15.44697912,3.19475134,8.29795129,5.98916886,1.312927624,39.98618566,4.33956552,0.32323078,93.2097795,95.88395444,25.63422193,8.58007054,5.78068009,13.43583846
526,11.4771552,0.26183468,16.67288129,21.82407153,12.61454686,7.06315192,8.05754394,6.09443505,1.312927624,39.72263468,10.65713482,0.32096822,92.24427341,74.49545381,35.4480971,8.81946089,11.32319296,12.44852138
